AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area
275;702;E 24TH AV AND SLOCAN ST;"{""coordinates"": [-123.04962416127738, 49.24882885418081], ""type"": ""Point""}";Renfrew-Collingwood
221;744;E 39TH AV AND ROSS ST;"{""coordinates"": [-123.08251175448373, 49.234692369842364], ""type"": ""Point""}";Kensington-Cedar Cottage
224;750;E 41ST AV AND SHERBROOKE ST;"{""coordinates"": [-123.08118260731747, 49.232768039802764], ""type"": ""Point""}";Kensington-Cedar Cottage
198;589;PRINCESS AV AND E CORDOVA ST;"{""coordinates"": [-123.09144212786056, 49.28213394030465], ""type"": ""Point""}";Strathcona
190;590;MAIN ST AND E HASTINGS ST;"{""coordinates"": [-123.0996488017772, 49.281335659887056], ""type"": ""Point""}";Downtown
198;590;PRINCESS AV AND E HASTINGS ST;"{""coordinates"": [-123.09148043889859, 49.28118474788335], ""type"": ""Point""}";Strathcona
160;592;BEATTY ST AND W PENDER ST;"{""coordinates"": [-123.10845518787391, 49.281238434776654], ""type"": ""Point""}";Downtown
186;589;COLUMBIA ST AND E CORDOVA ST;"{""coordinates"": [-123.1022158136993, 49.2823329707456], ""type"": ""Point""}";Downtown
157;590;W HASTINGS ST AND CAMBIE ST;"{""coordinates"": [-123.10954633718235, 49.28251141047328], ""type"": ""Point""}";Downtown
186;590;E HASTINGS ST AND COLUMBIA ST;"{""coordinates"": [-123.10225508772503, 49.28138421465219], ""type"": ""Point""}";Downtown
172;595;ABBOTT ST AND KEEFER PLACE;"{""coordinates"": [-123.10761716349298, 49.27970708733589], ""type"": ""Point""}";Downtown
198;592;PRINCESS AV AND E PENDER ST;"{""coordinates"": [-123.09152502932176, 49.28023416506116], ""type"": ""Point""}";Strathcona
198;594;KEEFER ST AND PRINCESS AV;"{""coordinates"": [-123.0915660993443, 49.27932869568587], ""type"": ""Point""}";Strathcona
024;674;SASAMAT ST AND W 11TH AV;"{""coordinates"": [-123.20913220095767, 49.26290422370671], ""type"": ""Point""}";West Point Grey
024;670;W 10TH AV AND SASAMAT ST;"{""coordinates"": [-123.20909961763496, 49.26382917046889], ""type"": ""Point""}";West Point Grey
030;640;NW MARINE DRIVE AND W 4TH AV;"{""coordinates"": [-123.19946765537354, 49.26885585634736], ""type"": ""Point""}";West Point Grey
275;575;N SLOCAN ST AND ETON ST;"{""coordinates"": [-123.04931704585465, 49.287718433148115], ""type"": ""Point""}";Hastings-Sunrise
274;575;ETON ST AND N PENTICTON ST;"{""coordinates"": [-123.05194865649302, 49.28772481800984], ""type"": ""Point""}";Hastings-Sunrise
274;570;MCGILL ST AND N PENTICTON ST;"{""coordinates"": [-123.0519377606677, 49.2887151996502], ""type"": ""Point""}";Hastings-Sunrise
300;594;CASSIAR ST AND TURNER ST;"{""coordinates"": [-123.03085438018101, 49.27907010513471], ""type"": ""Point""}";Hastings-Sunrise
305;594;SKEENA ST AND TURNER ST;"{""coordinates"": [-123.02832704023163, 49.279069043264], ""type"": ""Point""}";Hastings-Sunrise
312;596;E GEORGIA ST AND KOOTENAY ST;"{""coordinates"": [-123.02570329447286, 49.27825063652404], ""type"": ""Point""}";Hastings-Sunrise
280;592;E PENDER ST AND RENFREW ST;"{""coordinates"": [-123.04407867707582, 49.28021048075037], ""type"": ""Point""}";Hastings-Sunrise
280;600;VENABLES ST AND RENFREW ST;"{""coordinates"": [-123.04409664030189, 49.27662485985363], ""type"": ""Point""}";Hastings-Sunrise
280;594;RENFREW ST AND TURNER ST;"{""coordinates"": [-123.04407985658638, 49.27908103663008], ""type"": ""Point""}";Hastings-Sunrise
282;594;TURNER ST AND NOOTKA ST;"{""coordinates"": [-123.04145453958485, 49.27907834726691], ""type"": ""Point""}";Hastings-Sunrise
284;565;WALL ST AND WALKWAY;"{""coordinates"": [-123.0411200448436, 49.28920172321057], ""type"": ""Point""}";Hastings-Sunrise
300;586;TRIUMPH ST AND CASSIAR ST;"{""coordinates"": [-123.03087352857368, 49.283865446308305], ""type"": ""Point""}";Hastings-Sunrise
305;586;SKEENA ST AND TRIUMPH ST;"{""coordinates"": [-123.0283118112427, 49.283857053208614], ""type"": ""Point""}";Hastings-Sunrise
312;587;PANDORA ST AND KOOTENAY ST;"{""coordinates"": [-123.02569417625848, 49.28295601576697], ""type"": ""Point""}";Hastings-Sunrise
165;710;W KING EDWARD AV AND ASH ST;"{""coordinates"": [-123.11842499985548, 49.249043428931984], ""type"": ""Point""}";South Cambie
107;603;HARO ST AND LAGOON DRIVE;"{""coordinates"": [-123.14024894382486, 49.293200835967475], ""type"": ""Point""}";
108;602;CHILCO ST AND ROBSON ST;"{""coordinates"": [-123.13838264888797, 49.29338552579664], ""type"": ""Point""}";West End
078;744;W 39TH AV AND BALSAM ST;"{""coordinates"": [-123.16126781158987, 49.236524254578924], ""type"": ""Point""}";Arbutus-Ridge
074;730;W 33RD AV AND ELM ST;"{""coordinates"": [-123.1640731188747, 49.242267133824214], ""type"": ""Point""}";Arbutus-Ridge
081;710;BRAKENRIDGE ST AND W KING EDWARD AV;"{""coordinates"": [-123.16242912531003, 49.248552369460334], ""type"": ""Point""}";Arbutus-Ridge
253;728;GLADSTONE ST AND E 32ND AV;"{""coordinates"": [-123.0628233255976, 49.241505213222474], ""type"": ""Point""}";Kensington-Cedar Cottage
252;728;LITTLE ST AND E 32ND AV;"{""coordinates"": [-123.06404273616623, 49.2415130531714], ""type"": ""Point""}";Kensington-Cedar Cottage
267;770;BALDWIN ST AND KINGSWAY;"{""coordinates"": [-123.05915782541176, 49.24235315952057], ""type"": ""Point""}";Kensington-Cedar Cottage
273;723;NORQUAY ST AND CLARENDON ST;"{""coordinates"": [-123.05381041137483, 49.24335016143664], ""type"": ""Point""}";Renfrew-Collingwood
275;722;SLOCAN ST AND EUCLID AV;"{""coordinates"": [-123.05082884119429, 49.24328135786293], ""type"": ""Point""}";Renfrew-Collingwood
278;710;E 29TH AV AND ATLIN ST;"{""coordinates"": [-123.0458776228513, 49.24460850020963], ""type"": ""Point""}";Renfrew-Collingwood
246;730;BEATRICE ST AND E 33RD AV;"{""coordinates"": [-123.06661211000637, 49.240074277799145], ""type"": ""Point""}";Kensington-Cedar Cottage
261;738;E 37TH AV AND NANAIMO ST;"{""coordinates"": [-123.05877399250232, 49.23689990005665], ""type"": ""Point""}";Kensington-Cedar Cottage
266;722;GALT ST AND GLADSTONE ST;"{""coordinates"": [-123.06097627304366, 49.24430944250961], ""type"": ""Point""}";Kensington-Cedar Cottage
266;709;E 29TH AV AND GLADSTONE ST;"{""coordinates"": [-123.06042820565015, 49.24489945803303], ""type"": ""Point""}";Kensington-Cedar Cottage
212;650;PRINCE ALBERT ST AND E BROADWAY;"{""coordinates"": [-123.08717781373679, 49.26245820356297], ""type"": ""Point""}";Mount Pleasant
214;655;E 10TH AV AND ST. CATHERINES ST;"{""coordinates"": [-123.0852557024144, 49.26149384938765], ""type"": ""Point""}";Mount Pleasant
091;710;W KING EDWARD AV AND EAST BOULEVARD;"{""coordinates"": [-123.1519168323759, 49.25115886213616], ""type"": ""Point""}";Shaughnessy
091;695;W 19TH AV AND EAST BOULEVARD;"{""coordinates"": [-123.15251345110234, 49.25448792857491], ""type"": ""Point""}";Shaughnessy
091;690;W 16TH AV AND EAST BOULEVARD;"{""coordinates"": [-123.15240919305168, 49.257269658182295], ""type"": ""Point""}";Kitsilano
095;683;MAPLE ST AND W 13TH AV;"{""coordinates"": [-123.15067026088991, 49.26002612122465], ""type"": ""Point""}";Kitsilano
095;686;MAPLE ST AND W 14TH AV;"{""coordinates"": [-123.15070437280603, 49.25910541652057], ""type"": ""Point""}";Kitsilano
095;688;MAPLE ST AND W 15TH AV;"{""coordinates"": [-123.15073952930715, 49.25818515106137], ""type"": ""Point""}";Kitsilano
095;690;W 16TH AV AND MAPLE ST;"{""coordinates"": [-123.1507743460884, 49.2572440079856], ""type"": ""Point""}";Kitsilano
095;693;MAPLE ST AND W 18TH AV;"{""coordinates"": [-123.15084241988696, 49.2553832759256], ""type"": ""Point""}";Shaughnessy
095;697;MAPLE ST AND CEDAR CRESCENT;"{""coordinates"": [-123.15092808003759, 49.25307689683157], ""type"": ""Point""}";Shaughnessy
097;710;CYPRESS ST AND W KING EDWARD AV;"{""coordinates"": [-123.1488089122694, 49.24966475165069], ""type"": ""Point""}";Shaughnessy
097;702;MATTHEWS AV AND CYPRESS ST;"{""coordinates"": [-123.14868153327767, 49.251128232487986], ""type"": ""Point""}";Shaughnessy
097;693;CYPRESS ST AND W 18TH AV;"{""coordinates"": [-123.14843695627806, 49.25534523830611], ""type"": ""Point""}";Shaughnessy
097;688;W 15TH AV AND CYPRESS ST;"{""coordinates"": [-123.14833737541714, 49.25814587467917], ""type"": ""Point""}";Kitsilano
277;570;MCGILL ST AND N KASLO ST;"{""coordinates"": [-123.04668328762162, 49.288713744839846], ""type"": ""Point""}";Hastings-Sunrise
277;568;N KASLO ST AND TRINITY ST;"{""coordinates"": [-123.0466782282954, 49.28970557166559], ""type"": ""Point""}";Hastings-Sunrise
280;704;NOOTKA ST AND E 26TH AV;"{""coordinates"": [-123.04162909635095, 49.24707041307512], ""type"": ""Point""}";Renfrew-Collingwood
280;703;E 25TH AV AND NOOTKA ST;"{""coordinates"": [-123.04162001641077, 49.24789038546818], ""type"": ""Point""}";Renfrew-Collingwood
292;703;E 25TH AV AND LILLOOET ST;"{""coordinates"": [-123.03910134611209, 49.24789164316259], ""type"": ""Point""}";Renfrew-Collingwood
297;703;E 25TH AV AND WINDERMERE ST;"{""coordinates"": [-123.03656309579274, 49.24787424101834], ""type"": ""Point""}";Renfrew-Collingwood
303;704;CASSIAR ST AND E 26TH AV;"{""coordinates"": [-123.03107930892638, 49.247067876898306], ""type"": ""Point""}";Renfrew-Collingwood
271;708;E 28TH AV AND KAMLOOPS ST;"{""coordinates"": [-123.05424673774999, 49.24544777196828], ""type"": ""Point""}";Renfrew-Collingwood
273;702;KAMLOOPS ST AND E 24TH AV;"{""coordinates"": [-123.05458469850961, 49.24882067114897], ""type"": ""Point""}";Renfrew-Collingwood
075;715;MCBAIN AV AND EDGAR CRESCENT;"{""coordinates"": [-123.16444478150746, 49.247067508245614], ""type"": ""Point""}";Arbutus-Ridge
073;725;TRAFALGAR ST AND W 31ST AV;"{""coordinates"": [-123.1655351138075, 49.244192098734075], ""type"": ""Point""}";Arbutus-Ridge
083;721;VALLEY DRIVE AND EDDINGTON DRIVE;"{""coordinates"": [-123.15711084461586, 49.246755397266284], ""type"": ""Point""}";Arbutus-Ridge
078;721;PATON ST AND EDDINGTON DRIVE;"{""coordinates"": [-123.16134047692856, 49.24508409085892], ""type"": ""Point""}";Arbutus-Ridge
077;721;EDDINGTON DRIVE AND PUGET DRIVE;"{""coordinates"": [-123.16356229010904, 49.245259144327036], ""type"": ""Point""}";Arbutus-Ridge
082;721;TOWNLEY ST AND EDDINGTON DRIVE;"{""coordinates"": [-123.15824274018117, 49.24623904611962], ""type"": ""Point""}";Arbutus-Ridge
072;721;W 29TH AV AND PUGET DRIVE;"{""coordinates"": [-123.16595831678497, 49.24609642214646], ""type"": ""Point""}";Arbutus-Ridge
079;733;VINE ST AND W 35TH AV;"{""coordinates"": [-123.15971827140464, 49.2403134247969], ""type"": ""Point""}";Arbutus-Ridge
081;737;W 36TH AV AND YEW ST;"{""coordinates"": [-123.15815115745818, 49.23931896146761], ""type"": ""Point""}";Arbutus-Ridge
077;737;W 36TH AV AND LARCH ST;"{""coordinates"": [-123.16257546309609, 49.239387768400405], ""type"": ""Point""}";Arbutus-Ridge
073;715;MCBAIN AV AND TRAFALGAR ST;"{""coordinates"": [-123.16542862923274, 49.24706526709999], ""type"": ""Point""}";Arbutus-Ridge
073;710;W KING EDWARD AV AND TRAFALGAR ST;"{""coordinates"": [-123.16539209816588, 49.24807829972296], ""type"": ""Point""}";Arbutus-Ridge
073;709;OLIVER CRESCENT AND TRAFALGAR ST;"{""coordinates"": [-123.16535451498376, 49.249118220409386], ""type"": ""Point""}";Arbutus-Ridge
083;715;MCBAIN AV AND VALLEY DRIVE;"{""coordinates"": [-123.15862577100887, 49.24885730328541], ""type"": ""Point""}";Arbutus-Ridge
090;742;W 38TH AV AND WEST BOULEVARD;"{""coordinates"": [-123.15546223533234, 49.237321195508486], ""type"": ""Point""}";Arbutus-Ridge
081;731;YEW ST AND W 34TH AV;"{""coordinates"": [-123.1574718126878, 49.241226800497884], ""type"": ""Point""}";Arbutus-Ridge
279;811;VIVIAN DRIVE AND E 56TH AV;"{""coordinates"": [-123.05055567591472, 49.21895096787801], ""type"": ""Point""}";Victoria-Fraserview
281;811;E 55TH AV AND ROSEMONT DRIVE;"{""coordinates"": [-123.0492933699244, 49.21933954256806], ""type"": ""Point""}";Killarney
283;811;E 55TH AV AND ELMHURST DRIVE;"{""coordinates"": [-123.0480483270463, 49.21933919461661], ""type"": ""Point""}";Killarney
285;813;E 56TH AV AND KILLARNEY ST;"{""coordinates"": [-123.04558511029309, 49.21881020039965], ""type"": ""Point""}";Killarney
252;770;SIDNEY ST AND E 30TH AV;"{""coordinates"": [-123.06452022828528, 49.243746601768834], ""type"": ""Point""}";Kensington-Cedar Cottage
266;770;E 30TH AV AND GLADSTONE ST;"{""coordinates"": [-123.06262518943544, 49.242841779294984], ""type"": ""Point""}";Kensington-Cedar Cottage
252;726;LITTLE ST AND E 31ST AV;"{""coordinates"": [-123.06400067703699, 49.24279507781412], ""type"": ""Point""}";Kensington-Cedar Cottage
267;725;GALT ST AND BALDWIN ST;"{""coordinates"": [-123.05845103485197, 49.24310799479099], ""type"": ""Point""}";Kensington-Cedar Cottage
281;810;E 54TH AV AND DAWSON ST;"{""coordinates"": [-123.0490155794118, 49.22020147087746], ""type"": ""Point""}";Killarney
284;810;E 54TH AV AND KILLARNEY ST;"{""coordinates"": [-123.04593351598474, 49.22019499262925], ""type"": ""Point""}";Killarney
315;812;MATHESON CRESCENT AND BLAKE ST;"{""coordinates"": [-123.02860806044005, 49.21858023718413], ""type"": ""Point""}";Killarney
314;812;CHAMPLAIN CRESCENT AND ARLINGTON ST;"{""coordinates"": [-123.03240975235775, 49.219011087207676], ""type"": ""Point""}";Killarney
287;813;RUPERT ST AND E 56TH AV;"{""coordinates"": [-123.04381873154392, 49.21822774729126], ""type"": ""Point""}";Killarney
300;811;KERR ST AND E 55TH AV;"{""coordinates"": [-123.04133946624614, 49.21916382788203], ""type"": ""Point""}";Killarney
147;752;W 42ND AV AND MONTGOMERY ST;"{""coordinates"": [-123.13187158304159, 49.23312979004011], ""type"": ""Point""}";Oakridge
147;755;W 43RD AV AND MONTGOMERY ST;"{""coordinates"": [-123.1319023591396, 49.232224445395005], ""type"": ""Point""}";Oakridge
281;751;E 42ND AV AND EARLES ST;"{""coordinates"": [-123.0487901321581, 49.232030642826146], ""type"": ""Point""}";Victoria-Fraserview
281;747;EARLES ST AND E 40TH AV;"{""coordinates"": [-123.04875093208837, 49.234042789311886], ""type"": ""Point""}";Renfrew-Collingwood
254;747;GLADSTONE ST AND E 40TH AV;"{""coordinates"": [-123.06211731615167, 49.23390099685727], ""type"": ""Point""}";Kensington-Cedar Cottage
270;747;CLARENDON ST AND E 40TH AV;"{""coordinates"": [-123.05550140157892, 49.233868410821096], ""type"": ""Point""}";Renfrew-Collingwood
254;743;GLADSTONE ST AND E 39TH AV;"{""coordinates"": [-123.06210760565484, 49.23490989134854], ""type"": ""Point""}";Kensington-Cedar Cottage
281;770;E 38TH AV AND EARLES ST;"{""coordinates"": [-123.0488420625329, 49.23584315891107], ""type"": ""Point""}";Renfrew-Collingwood
278;750;E 41ST AV AND WALES ST;"{""coordinates"": [-123.05167155594053, 49.232792736100194], ""type"": ""Point""}";Renfrew-Collingwood
279;750;RHODES ST AND E 41ST AV;"{""coordinates"": [-123.05013775549523, 49.23278916620961], ""type"": ""Point""}";Renfrew-Collingwood
281;750;E 41ST AV AND EARLES ST;"{""coordinates"": [-123.04877457138392, 49.23278603476435], ""type"": ""Point""}";Renfrew-Collingwood
277;706;KASLO ST AND E 27TH AV;"{""coordinates"": [-123.04709611670677, 49.2462620083025], ""type"": ""Point""}";Renfrew-Collingwood
273;708;E 28TH AV AND PENTICTON ST;"{""coordinates"": [-123.05204429997724, 49.2454505032152], ""type"": ""Point""}";Renfrew-Collingwood
130;712;GRANVILLE ST AND W 26TH AV;"{""coordinates"": [-123.13912041607333, 49.248334403298706], ""type"": ""Point""}";Shaughnessy
135;717;NANTON AV AND CARTIER ST;"{""coordinates"": [-123.13675936977926, 49.24737613571882], ""type"": ""Point""}";Shaughnessy
135;712;W 26TH AV AND CARTIER ST;"{""coordinates"": [-123.13672719077502, 49.24829680883035], ""type"": ""Point""}";Shaughnessy
292;702;LILLOOET ST AND E 24TH AV;"{""coordinates"": [-123.03909718509321, 49.24878199222973], ""type"": ""Point""}";Renfrew-Collingwood
050;726;W 32ND AV AND BLENHEIM ST;"{""coordinates"": [-123.17864857609261, 49.24329477323942], ""type"": ""Point""}";Dunbar-Southlands
037;750;HIGHBURY ST AND W 41ST AV;"{""coordinates"": [-123.18836979618139, 49.234767666973596], ""type"": ""Point""}";Dunbar-Southlands
037;830;HIGHBURY ST AND SW MARINE DRIVE;"{""coordinates"": [-123.18846009646626, 49.23176595492027], ""type"": ""Point""}";Dunbar-Southlands
050;739;BLENHEIM ST AND W 37TH AV;"{""coordinates"": [-123.1786936845347, 49.23855128558478], ""type"": ""Point""}";Dunbar-Southlands
042;737;W 36TH AV AND COLLINGWOOD ST;"{""coordinates"": [-123.18199213794662, 49.23951124570102], ""type"": ""Point""}";Dunbar-Southlands
040;737;DUNBAR ST AND W 36TH AV;"{""coordinates"": [-123.18528798669618, 49.239524096048115], ""type"": ""Point""}";Dunbar-Southlands
038;745;W 39TH AV AND ALMA ST;"{""coordinates"": [-123.18681035659418, 49.23644248003217], ""type"": ""Point""}";Dunbar-Southlands
050;750;W 41ST AV AND BLENHEIM ST;"{""coordinates"": [-123.17872151143982, 49.23475377984609], ""type"": ""Point""}";Dunbar-Southlands
050;742;BLENHEIM ST AND W 38TH AV;"{""coordinates"": [-123.1787000661226, 49.23771560799582], ""type"": ""Point""}";Dunbar-Southlands
235;770;E KING EDWARD AV AND DUMFRIES ST;"{""coordinates"": [-123.07335514493097, 49.24846602156858], ""type"": ""Point""}";Kensington-Cedar Cottage
235;711;DUMFRIES ST AND E 26TH AV;"{""coordinates"": [-123.07338222296326, 49.24783265929522], ""type"": ""Point""}";Kensington-Cedar Cottage
235;770;KINGSWAY AND DUMFRIES ST;"{""coordinates"": [-123.07335078330377, 49.248972158836736], ""type"": ""Point""}";Kensington-Cedar Cottage
042;758;COLLINGWOOD PLACE AND COLLINGWOOD ST;"{""coordinates"": [-123.18204917786528, 49.231695431346964], ""type"": ""Point""}";Dunbar-Southlands
037;723;W 30TH AV AND HIGHBURY ST;"{""coordinates"": [-123.18812564842084, 49.24523670715799], ""type"": ""Point""}";Dunbar-Southlands
050;723;BLENHEIM ST AND W 30TH AV;"{""coordinates"": [-123.17863251222043, 49.245194547877766], ""type"": ""Point""}";Dunbar-Southlands
201;803;E 54TH AV AND ST. GEORGE ST;"{""coordinates"": [-123.09419769236406, 49.22091248733387], ""type"": ""Point""}";Sunset
210;803;FRASER ST AND E 54TH AV;"{""coordinates"": [-123.0908856594181, 49.220858434493735], ""type"": ""Point""}";Sunset
254;794;E 51ST AV AND GLADSTONE ST;"{""coordinates"": [-123.06254331889586, 49.22310411691732], ""type"": ""Point""}";Victoria-Fraserview
254;792;E 50TH AV AND GLADSTONE ST;"{""coordinates"": [-123.06237834801397, 49.224005351984644], ""type"": ""Point""}";Victoria-Fraserview
261;790;E 49TH AV AND NANAIMO ST;"{""coordinates"": [-123.05913465243485, 49.22503795144061], ""type"": ""Point""}";Victoria-Fraserview
261;772;E 48TH AV AND NANAIMO ST;"{""coordinates"": [-123.05911647154285, 49.22577711060044], ""type"": ""Point""}";Victoria-Fraserview
261;759;NANAIMO ST AND E 46TH AV;"{""coordinates"": [-123.0590540679712, 49.22848892601082], ""type"": ""Point""}";Victoria-Fraserview
257;758;STIRLING ST AND E 45TH AV;"{""coordinates"": [-123.05990797318216, 49.229415699606506], ""type"": ""Point""}";Victoria-Fraserview
261;758;NANAIMO ST AND E 45TH AV;"{""coordinates"": [-123.05903559241261, 49.22940933031929], ""type"": ""Point""}";Victoria-Fraserview
266;758;E 45TH AV AND ST. MARGARETS ST;"{""coordinates"": [-123.05652019041611, 49.22939275081608], ""type"": ""Point""}";Victoria-Fraserview
254;756;E 44TH AV AND GLADSTONE ST;"{""coordinates"": [-123.06205553011453, 49.230315225063684], ""type"": ""Point""}";Victoria-Fraserview
254;753;GLADSTONE ST AND E 43RD AV;"{""coordinates"": [-123.06203246023942, 49.23119730325191], ""type"": ""Point""}";Victoria-Fraserview
246;790;E 49TH AV AND BEATRICE ST;"{""coordinates"": [-123.06707927457241, 49.2251925936056], ""type"": ""Point""}";Victoria-Fraserview
210;810;FRASER ST AND E 57TH AV;"{""coordinates"": [-123.09095311706714, 49.21825548183993], ""type"": ""Point""}";Sunset
197;810;PRINCE EDWARD ST AND E 57TH AV;"{""coordinates"": [-123.09775200149953, 49.21838077370604], ""type"": ""Point""}";Sunset
232;811;E 57TH AV AND DUMFRIES ST;"{""coordinates"": [-123.07550107938033, 49.218117383413215], ""type"": ""Point""}";Victoria-Fraserview
237;810;ARGYLE ST AND E 57TH AV;"{""coordinates"": [-123.0719978244699, 49.21809738375291], ""type"": ""Point""}";Victoria-Fraserview
244;811;NASSAU DRIVE AND BRAEBURN ST;"{""coordinates"": [-123.06947864280568, 49.218681028724816], ""type"": ""Point""}";Victoria-Fraserview
230;810;KNIGHT ST AND E 57TH AV;"{""coordinates"": [-123.07702523701053, 49.21812722544626], ""type"": ""Point""}";Sunset
228;799;CULLODEN ST AND E 53RD AV;"{""coordinates"": [-123.07880501551325, 49.221815733125396], ""type"": ""Point""}";Sunset
210;801;FRASER ST AND E 53RD AV;"{""coordinates"": [-123.09086562516009, 49.22176577631081], ""type"": ""Point""}";Sunset
250;750;VICTORIA DRIVE AND E 41ST AV;"{""coordinates"": [-123.06553668759817, 49.2327506208454], ""type"": ""Point""}";Kensington-Cedar Cottage
250;751;VICTORIA DRIVE AND E 42ND AV;"{""coordinates"": [-123.06555554319534, 49.23207285378468], ""type"": ""Point""}";Victoria-Fraserview
257;751;E 42ND AV AND STIRLING ST;"{""coordinates"": [-123.06045808056203, 49.23202842691253], ""type"": ""Point""}";Victoria-Fraserview
266;750;E 41ST AV AND ST. MARGARETS ST;"{""coordinates"": [-123.05658593176814, 49.23283667802084], ""type"": ""Point""}";Renfrew-Collingwood
222;670;GLEN DRIVE AND E 12TH AV;"{""coordinates"": [-123.08142489223162, 49.25965331421708], ""type"": ""Point""}";Mount Pleasant
222;683;GLEN DRIVE AND E 13TH AV;"{""coordinates"": [-123.08144322212122, 49.25874886871825], ""type"": ""Point""}";Mount Pleasant
217;687;WINDSOR ST AND E 15TH AV;"{""coordinates"": [-123.08349897777168, 49.256913430068906], ""type"": ""Point""}";Mount Pleasant
